url,image,title,text
/personalities/tammy-baldwin/,https://static.politifact.com/CACHE/images/politifact/rulings/meter-true/3d4df195c595a07e3fd69b5e4aab3e3c.jpg.,Tammy Baldwin,"“Wisconsin had over 1,400 opioid overdose deaths in 2022.”"
/personalities/steve-scalise/,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,Steve Scalise,"The Senate’s border bill “accepts 5,000 illegal immigrants a day.”"
/personalities/donna-brazile/,https://static.politifact.com/CACHE/images/politifact/rulings/meter-mostly-true/4ac7c61540eff5211f6a04d98a6bc93a.jpg.,Donna Brazile,"Under President Joe Biden, “Black unemployment is the lowest in American history.”"
/personalities/tweets/,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,X posts,"Rep. Ilhan Omar said her ""top priority is to put Somalia first and expand its territory.”"
/personalities/instagram-posts/,https://static.politifact.com/CACHE/images/politifact/rulings/meter-false/33efdb6633e5e2fdc2d4e2f63383a1e0.jpg.,Instagram posts,“Epstein List” shows 166 people connected to convicted sex offender Jeffrey Epstein.
/personalities/joe-biden/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_19138732015030/ac9362a6cf188ef35e318b73dbd46a04.jpg,,
/personalities/citizens-sanity/,https://static.politifact.com/CACHE/images/politifact/mugs/305066915_107016768814077_4257912391860664572_n/1a57b1d4d36a699e349d44b2fdb133dc.jpg,,
/personalities/jeh-johnson/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_16147786370702/f29525b6843975d9045803cc41a36f68.jpg,,
/personalities/francis-suarez/,https://static.politifact.com/CACHE/images/politifact/mugs/AP23062757631187/9275cf0bac18ef9507fc17623dd54b4b.jpg,,
/personalities/donald-trump/,https://static.politifact.com/CACHE/images/politifact/mugs/AP_17226541257169/da40baf0ed859a5702e5749eca5160ca.jpg,,
https://www.nytimes.com/2024/02/05/us/politics/border-deal-immigration.html,https://static.politifact.com/politifact/curation/sources/nyt_1.jpg,,
https://www.usatoday.com/story/news/factcheck/2024/02/05/e-jean-carroll-judge-kaplan-sex-trafficking/72479757007/,https://static.politifact.com/politifact/curation/sources/new_usa_today_logo.jpg,,
https://www.usatoday.com/story/news/factcheck/2024/02/05/fabricated-trump-post-criticizing-e-jean-carroll-fact-check/72456902007/,https://static.politifact.com/politifact/curation/sources/new_usa_today_logo.jpg,,
https://www.cnn.com/2024/02/05/politics/fact-check-trump-james-lankford-endorsement/index.html,https://static.politifact.com/politifact/curation/sources/cnn_1.jpg,,
https://apnews.com/article/fact-check-nypd-protest-migrants-bail-times-square-214014962089,https://static.politifact.com/politifact/curation/sources/ap_1.jpg,,
/article/2024/feb/06/ask-politifact-what-does-the-data-show-on-deadly-s/,https://static.politifact.com/CACHE/images/politifact/photos/Long_guns_on_display_in_Maine_store/3f4ab8a393ac74609bfcee688a53644a.jpg,Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?,
/article/2024/feb/02/taylor-swift-singer-songwriter-psyop-how-conservat/,https://static.politifact.com/CACHE/images/politifact/photos/Taylor_Swift_performs_22The_Eras_Tour22_in_Los_Angeles_Aug._7_2023/27be9d4ef25580d6c48d1e3483e75768.jpeg,"Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory",
/article/2024/feb/02/What-would-taylor-swift-endorsement-mean/,https://static.politifact.com/CACHE/images/politifact/photos/AP24024825197576/9739e1fa1dca057813c88c19d19b4044.jpg,What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?,
/article/2024/feb/02/ask-politifact-can-joe-biden-shut-down-the-border/,https://static.politifact.com/CACHE/images/politifact/photos/AP23297773423612/47548256c86306b118f07bf0d523dada.jpg,Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?,
/article/2024/feb/01/explaining-ron-desantis-effort-to-call-a-conventio/,https://static.politifact.com/CACHE/images/politifact/photos/AP24010647757032_1/bb7c0a0c0c1438c3a320dba29871f84e.jpg,Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution,
/article/2024/feb/01/what-politifact-learned-in-1000-fact-checks-of-don/,https://static.politifact.com/CACHE/images/politifact/photos/trump_1000_thumbnail/94a9eb59e5f7f3d51e39e6af4a06bbbf.jpg,"What PolitiFact learned in 1,000 fact-checks of Donald Trump",
/article/2024/feb/01/politifact-top-10-fact-checks-of-donald-trump/,https://static.politifact.com/CACHE/images/politifact/photos/AP24027859400676/88189848c9e4b917cf9dd0a3a15275e9.jpg,These are PolitiFact's top 10 most-read fact-checks of Donald Trump,
/article/2024/jan/26/covid-19-vaccines-effect-on-thyroid-conditions-req/,https://static.politifact.com/CACHE/images/politifact/photos/covid_19_vaccines/fbca628ec415091a130beb550db56395.jpg,COVID-19 vaccines’ effect on thyroid conditions requires more study,
/article/2024/jan/24/razor-wire-and-a-blocked-border-patrol-whats-going/,https://static.politifact.com/CACHE/images/politifact/photos/razorwire1/c5436420286549badec304f428b93d7f.jpeg,"Razor wire and a blocked Border Patrol. What’s going on in Eagle Pass, Texas?",
